regime,tp_r,symbol,timeframe,bars,start,end,trades,wins,losses,win_rate,total_R,expectancy_R,profit_factor,total_pnl,return_pct,max_drawdown,max_drawdown_pct,avg_bars_held,buy_trades,sell_trades,buy_R,sell_R,tp_exits,sl_exits,unresolved,avg_sl_points,setups_detected,setups_entered,rejected_stops
live,1.25,eurgbp,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,218,109,109,50.0,18.338777067894984,0.08412283058667423,1.1620295249734702,1833.877706789498,18.33877706789498,-2729.182419287403,-27.291824192874024,16.513761467889907,112,106,16.43108645188829,1.9076906160066918,109,109,0,475.80275229357767,358,231,0
live,1.25,eurgbp,D1,6301,2002-05-08 00:00:00+00:00,2026-08-21 00:00:00+00:00,71,42,29,59.154929577464785,20.28036925202769,0.28563900354968574,1.6655853771990021,2028.0369252027688,20.28036925202769,-760.6354191611681,-7.606354191611681,5.76056338028169,28,43,11.382153724852925,8.898215527174768,42,29,0,545.8197183098595,183,77,0
live,1.25,eurusd,M1,25837,2026-08-09 21:05:00+00:00,2026-09-03 05:39:00+00:00,0,0,0,,0.0,,,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0,0,,0,0,0
live,1.25,eurusd,M5,20103,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,7,3,4,42.857142857142854,-0.599071545504029,-0.08558164935771842,0.8570887108886723,-59.90715455040288,-0.5990715455040289,-206.7827262597566,-2.067827262597566,263.0,5,2,-2.972910124317087,2.373838578813058,3,4,0,276.2000000000058,7,7,0
live,1.25,eurusd,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,22,12,10,54.54545454545454,2.605082831399952,0.11841285597272509,1.2435254550045103,260.5082831399953,2.605082831399953,-407.62875282381356,-4.076287528238136,57.90909090909091,12,10,-4.802424462468328,7.40750729386828,11,10,1,225.36363636363714,30,22,0
live,1.25,eurusd,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,105,49,56,46.666666666666664,0.6476718086675286,0.0061683029396907485,1.0110960832634452,64.76718086675292,0.6476718086675293,-2334.863965427423,-23.34863965427423,24.876190476190477,55,50,-1.3050183395980428,1.9526901482655696,49,56,0,370.297142857144,189,113,0
live,1.25,eurusd,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,238,120,118,50.42016806722689,24.448436553411046,0.10272452333365986,1.2002211890069645,2444.843655341105,24.448436553411053,-1151.5963842560705,-11.515963842560705,10.277310924369749,123,115,15.360815436453457,9.087621116957587,120,118,0,523.6487394957984,493,259,0
live,1.25,eurusd,D1,6307,2002-05-07 00:00:00+00:00,2026-08-21 00:00:00+00:00,42,20,22,47.61904761904761,1.7753419102369996,0.04227004548183332,1.0782444996629232,177.53419102369992,1.775341910236999,-891.2013846567406,-8.912013846567406,3.4047619047619047,18,24,-2.644296621605964,4.419638531842964,20,22,0,635.6428571428563,228,42,0
live,1.25,gbpusd,M1,26114,2026-08-09 21:07:00+00:00,2026-09-03 05:38:00+00:00,0,0,0,,0.0,,,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0,0,,1,0,0
live,1.25,gbpusd,M5,20086,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,6,4,2,66.66666666666666,2.6485699012143136,0.44142831686905226,2.2181025211195253,264.8569901214313,2.6485699012143127,-111.04565537555936,-1.1104565537555935,130.33333333333334,5,1,1.4275274301718597,1.221042471042454,4,2,0,320.2000000000001,8,6,0
